thanh_ngu_tieng_trung,phien_am,am_han_viet,ket_cau_hinh_thuc,ket_cau_ngu_phap,sac_thai_bieu_cam,chu_de,cach_dung,nghia,vi_du_tieng_trung,vi_du_tieng_viet,tu_can_nghia,tu_trai_nghia,nguon_goc_thanh_ngu,cau_chuyen_thanh_ngu
安步当车,ān bù dàng chē,an bộ đáng xa,,Rút gọn,Tích cực,,Vị ngữ,"Bình tĩnh, không vội vã; đi bộ thong thả thay vì đi xe.",反正路不远，我们还是安步当车吧！,"Dù sao đường cũng không xa, chúng ta vẫn nên đi bộ thong thả như đi xe ngựa vậy!",缓步代车,,"Chiến Quốc Sách – Tề Sách 4: ""Ăn trễ cũng như có thịt ngon, đi bộ thong thả cũng như ngồi xe, không phạm lỗi đã là vinh dự, giữ lòng thanh sạch, ngay thẳng thì tự bảo vệ được mình.""","Vào thời Chiến Quốc, nước Tề có một bậc cao sĩ tên là Nhan Thục. Tề Tuyên Vương ngưỡng mộ danh tiếng của ông, nên cho vời ông vào cung. Nhan Thục cứ ung dung bước vào cung, đến bậc thềm trước điện thì dừng lại, thấy Tuyên Vương đang đứng chờ mình đến bái kiến, ông liền dừng chân, không bước tới nữa.

Tuyên Vương thấy vậy lấy làm lạ, liền gọi:
“Nhan Thục, lại đây nào!”
Không ngờ Nhan Thục vẫn không nhúc nhích, mà lại gọi ngược lại:
“Đại vương, mời người lại đây!”

Tuyên Vương nghe vậy thì không vui, các đại thần xung quanh thấy Nhan Thục không coi vua ra gì, nói năng ngạo mạn, bèn lên tiếng:
“Đại vương là quân vương, ngài là thần dân. Quân vương gọi ngài thì ngài phải đến, sao có thể để ngài gọi lại quân vương được?”

Nhan Thục nói:
“Nếu tôi bước tới chỗ đại vương, điều đó chứng tỏ tôi ngưỡng mộ quyền thế của ngài. Còn nếu đại vương bước tới đây, điều đó cho thấy ngài biết lễ đãi người hiền. So với việc tôi ngưỡng mộ quyền thế của đại vương, chi bằng để đại vương thể hiện sự kính trọng người tài thì hay hơn.”

Tề Tuyên Vương nổi giận, hỏi:
“Rốt cuộc là quân vương cao quý, hay là sĩ nhân cao quý?”

Nhan Thục không chút do dự:
“Tất nhiên là sĩ nhân cao quý, quân vương không hề cao quý!”

Tuyên Vương lại hỏi:
“Ngươi nói vậy có bằng chứng gì không?”

Nhan Thục ung dung trả lời:
“Tất nhiên là có. Trước đây, khi nước Tần tấn công nước Tề, vua Tần từng ra một mệnh lệnh: Ai dám chặt củi trong phạm vi năm mươi bước quanh mộ của bậc cao sĩ Lưu Hạ Quý thì sẽ bị xử tử ngay tại chỗ! Nhưng cũng chính vua Tần lại ra một mệnh lệnh khác: Ai chặt được đầu của vua Tề thì sẽ được phong làm vạn hộ hầu, ban thưởng cả ngàn cân vàng. Từ đó mà xét, đầu của một vị quân vương đang sống, lại còn không bằng mộ phần của một sĩ nhân đã chết!”

Tề Tuyên Vương nghe xong, á khẩu không đáp được, nét mặt đầy khó chịu. Các đại thần liền vội vã tìm cách hòa giải:
“Nhan Thục, lại đây! Nhan Thục, lại đây! Đại vương của chúng ta cai quản một nước lớn có đến một ngàn cỗ xe chiến mã, bốn phương đều quy phục. Đại vương muốn gì được nấy, dân chúng không ai dám không nghe lệnh. Các sĩ nhân các ông quá nhỏ bé rồi!”

Nhan Thục bác lại:
“Các ông nói sai rồi! Xưa kia thời Đại Vũ, chư hầu lên đến vạn nước, là vì ông ta biết tôn trọng sĩ nhân. Đến thời Thương Thang, còn lại ba ngàn nước. Còn bây giờ, các nước tự xưng đế vương chỉ còn hai mươi bốn nước. Như vậy có thể thấy, việc coi trọng sĩ nhân hay không chính là then chốt được mất. Xưa nay chưa từng có ai chỉ dựa vào hư danh mà nổi tiếng thiên hạ cả. Cho nên bậc quân vương phải lấy việc không thường xuyên cầu học làm điều hổ thẹn, phải biết xấu hổ khi không chịu học hỏi từ người địa vị thấp.”

Tuyên Vương nghe đến đây thì tự biết mình vô lý, bèn nói:
“Là ta tự rước lấy xấu hổ. Nghe những lời cao luận của ngài, ta mới hiểu được cái sai của mình. Mong ngài nhận ta làm học trò, từ nay xin ngài ở lại đây, ta đảm bảo ngài có thịt để ăn, ra ngoài có xe đưa đón, vợ con của ngài sẽ được mặc lụa là gấm vóc.”

Nhan Thục khéo léo từ chối:
“Ngọc vốn sinh ra từ núi, nếu bị thợ thủ công gọt giũa thì sẽ bị tổn hại; tuy vẫn là vật quý, nhưng đã mất đi vẻ nguyên sơ. Người sĩ cũng vậy, sinh ra ở nơi quê mùa nghèo khó, nếu được chọn dùng thì sẽ được hưởng vinh hoa phú quý. Không phải là không thể hiển đạt, mà là phong cách bên ngoài và phẩm hạnh bên trong sẽ bị phá hỏng. Vậy nên, tôi thà được đại vương cho trở về, mỗi ngày ăn muộn một chút mà thấy ngon như ăn thịt, đi bộ thong thả mà như ngồi xe, sống bình yên mà chẳng thua gì quyền quý. Giữ lòng thanh tịnh, giữ mình trong sạch, tự tìm niềm vui trong đó. Người ra lệnh cho tôi nói chuyện là đại vương, mà người tận tâm bày tỏ là Nhan Thục tôi đây.”

Nói xong, Nhan Thục cúi mình lạy hai cái, rồi cáo từ ra về."
安然无事,ān rán wú shì,an nhiên vô sự,,Chính phụ,Tích cực,,"Vị ngữ, Trạng ngữ",Bình yên vô sự,要得安然无事，除非把你两家合成一家，我一个人儿就好照顾了。（清 文康《儿女英雄传》第九回）,"Nếu muốn yên ổn vô sự, chỉ có cách hợp nhất hai nhà thành một, như vậy tôi chỉ cần chăm sóc một mình bạn thôi.",安然无恙、平安无事,九死一生,"Thanh, Hạ Kính Cừ, Dã Tẩu Bộc Ngôn – Chương 32: ""Chị Tư không tới làm ồn để cho tai được yên tĩnh, cũng thấy yên ổn chẳng có chuyện gì. Giá mà hai nhà các người gộp thành một, thì một mình ta trông nom cũng đỡ vất vả.""",
安然无恙,ān rán wú yàng,an nhiên vô dạng ,,Chủ vị,Tiêu cực,Thành ngữ về an toàn,"Vị ngữ, Trạng ngữ","""恙"" ban đầu chỉ bệnh tật, giờ dùng để chỉ tình trạng bình yên, không bị tổn hại.",只求处士每岁元旦，作一朱幡，上图日月五星之文，立于苑东，吾辈则安然无恙矣。（明 冯梦龙《醒世恒言》第四卷）,"Chỉ cần mỗi năm vào dịp Tết Nguyên Đán, vị ẩn sĩ làm một lá cờ đỏ, vẽ biểu tượng mặt trời, mặt trăng và năm ngôi sao, đặt ở phía đông của vườn, chúng ta sẽ sống yên ổn, an lành.",平安无事、安然无事、安然如故,九死一生、在劫难逃、危在旦夕,"Chiến Quốc Sách – Tề Sách: ""Năm nay vẫn yên ổn chứ? Dân chúng vẫn bình an chứ? Nhà vua cũng vẫn mạnh khỏe chứ?""","Vào năm 266 trước Công nguyên, quốc vương nước Triệu là Triệu Huệ Văn Vương qua đời, con trai ông là thái tử Đan lên ngôi, trở thành Triệu Hiếu Thành Vương. Do Hiếu Thành Vương còn trẻ tuổi, nên mọi việc quốc gia đều do mẹ ông là Triệu Uy Hậu đảm trách. Triệu Uy Hậu là một người phụ nữ trung niên có đức độ và tầm nhìn.

Khi bà mới bắt đầu quản lý chính sự, nước Tần gia tăng tấn công nước Triệu. Triệu lâm vào cảnh nguy khốn, phải cầu cứu nước Tề. Nước Tề yêu cầu Triệu Uy Hậu phải đưa con trai út của bà là Trường An Quân sang làm con tin thì mới chịu phái binh cứu viện. Triệu Uy Hậu không nỡ để con út rời xa, nhưng sau khi nghe theo lời khuyên của đại thần Xúc Long, bà đã chấp nhận đưa Trường An Quân sang nước Tề. Nước Tề sau đó đã cử quân đến giúp nước Triệu đánh lui quân Tần.

Một lần, vua nước Tề cử sứ giả mang thư đến nước Triệu để thăm hỏi Triệu Uy Hậu. Khi thư chưa được mở, Uy Hậu đã hỏi sứ giả:
“Vụ mùa ở nước Tề không tệ chứ? Dân chúng có được bình an không? Sức khỏe của vua Tề vẫn tốt chứ?”

Sứ giả nước Tề nghe vậy thì cảm thấy không hài lòng, nói:
“Tôi được vua Tề cử đến để thăm hỏi bà, nay bà lại không hỏi thăm vua trước mà lại hỏi đến mùa màng và dân chúng. Chẳng lẽ bà lại coi thường cao quý mà đặt thấp hèn lên trước sao?”

Uy Hậu mỉm cười nhẹ nhàng rồi nói:
“Không phải vậy. Nếu không có mùa màng thì làm sao có dân chúng? Mà nếu không có dân chúng thì làm sao có quân vương? Chẳng lẽ khi thăm hỏi lại có thể bỏ gốc mà chỉ hỏi ngọn hay sao?”

Sứ giả nước Tề nghe xong, nhất thời không nói được lời nào.

Câu chuyện điển tích liên quan đến chữ “vô dạng” (無恙 – không gặp nạn) này về sau đã phát triển thành thành ngữ “an nhiên vô dạng” (安然无恙), mang ý nghĩa bình an, không tổn hại gì."
安神定魄,ān shén dìng pò,an thần định phách,,Liên hợp,Tích cực,,Định ngữ,"""恙"" ban đầu chỉ bệnh tật, giờ dùng để chỉ tình trạng bình yên, không bị tổn hại.",贾母叫鸳鸯找些安神定魄的药，按方吃了。★清·曹雪芹《红楼梦》第九十五回,"Giả mẫu bảo Uyên Ương tìm một số thuốc an thần, theo đơn mà uống.",,魂飞魄散,"Minh, Ngô Thừa Ân, Tây Du Ký – Hồi 11: ""Uống thuốc an thần định tâm xong, ngủ một mạch suốt đêm""",
安良除暴,ān liáng chú bào,an lương trừ bạo,,Liên hợp,Trung tính,,"Vị ngữ, Định ngữ"," An ủi người tốt, loại bỏ kẻ xấu.",《三侠五义》间在叙勇侠之士，游行村市，安良除暴，为国立功。（鲁迅《中国小说史略》）,"Trong Tam Hiệp Ngũ Nghĩa, miêu tả những anh hùng dũng cảm, lang thang khắp làng mạc, ổn định nhân tâm và trừ bạo, lập công cho đất nước.",除暴安良、杀富济贫,,"Tống, Lý Phưởng, Thái Bình Quảng Ký: ""Bổn phận của người làm quan là trừ bạo, giữ được bình yên cho người lương thiện""",
安营扎寨,ān yíng zhā zhài,an doanh trát trại,,Liên hợp,Tích cực,,Vị ngữ,"Thiết lập, dựng lên; ám chỉ việc đặt quân đội đóng quân, hay xây dựng một căn cứ công việc tạm thời.",打什么地方进兵，打什么地方退兵，什么地方可以安营扎寨，什么地方可以埋伏，指手画脚的讲了一通。（清 李宝嘉《官场现形记》第十四回,"Anh ta chỉ tay ra hiệu về những nơi có thể tấn công, nơi có thể rút lui, đâu là chỗ có thể đóng quân, đâu là chỗ có thể phục kích, nói một thôi một hồi.",安家落户、步步为营,拔寨起营、班师回朝,"Nguyên, Vô Danh Thị, Lưỡng Quân Sư Cách Giang Đấu Trí – Hồi 2: """"Tên tiểu nhân Chu Du này liên tục kéo quân tới đòi chiếm đất Kinh Châu của ta, giờ còn đóng trại ở bến Chài Tang, rõ ràng mưu đồ không nhỏ""",
安贫乐道,ān pín lè dào,an bần lạc đạo,,Liên hợp,Tích cực,,"Vị ngữ, Định ngữ","Chỉ cách sống thanh bần đạo hạnh trong xã hội mà các trí thức xưa đã chủ trương, theo đuổi.",劝人安贫乐道是古今治国平天下的大经络，开过的方子也很多，但都没有十全大补的功效。（鲁迅《花边文学 安贫乐道法》）,"Khuyên người an phận, vui vẻ với nghèo khó là phương châm chính trong việc trị quốc bình thiên hạ từ xưa đến nay. Mặc dù đã có nhiều phương pháp được đề xuất, nhưng không có phương pháp nào thực sự toàn diện và hiệu quả.",安贫守道,为所欲为、胡作非为,"Hậu Hán Thư – Dương Biểu Truyện: ""Ông an phận trong cảnh nghèo, vui với đạo lý, thản nhiên không bon chen danh lợi, khiến các nho sĩ vùng Tam Phụ đều kính trọng và ngưỡng mộ.""",
安身之地,ān shēn zhī dì, an thân chi địa,,Chính phụ,Tích cực,"Thành ngữ về thân thể
Thành ngữ về đất", Tân ngữ,"Nơi sinh sống, cư trú hoặc xây dựng sự nghiệp.",清·李汝珍《镜花缘》第28回：“宣氏泣拜，备述历年避难各话，并求唐敖设法筹一安身之地。”,"Tuyên thị quỳ lạy, kể lại chi tiết những năm tháng tránh nạn, đồng thời xin Tang Ao nghĩ cách sắp xếp một nơi ổn định để sinh sống.",安身之处、立足之地,,"Minh, La Quán Trung, Tam Quốc Diễn Nghĩa – Hồi 40: ""Gần đây nghe Lưu Cảnh Thăng bệnh nguy kịch, có thể nhân cơ hội này, chiếm lấy Kinh Châu làm nơi an thân.""","Lưu Bị chạy đến Kinh Châu cầu cứu Lưu Biểu, và Lưu Biểu giao cho Lưu Bị trấn giữ Tân Dã. Tại đây, Lưu Bị và Gia Cát Lượng đã khéo léo sử dụng chiến thuật hỏa công, đánh bại tướng của Tào Tháo là Hạ Hầu Đôn. Lưu Bị lo sợ Tào Tháo sẽ đến trả thù, Gia Cát Lượng nói: ""Tân Dã chỉ là một huyện nhỏ, không thể ở lâu được. Gần đây nghe nói Lưu Biểu bệnh nặng, có thể nhân cơ hội này chiếm lấy Kinh Châu làm chỗ đứng, có lẽ sẽ chống lại được Tào Tháo."" Lưu Bị đáp: ""Ngươi nói đúng, nhưng ta nhận ân của Lưu Biểu, sao có thể nhẫn tâm làm thế?"" Gia Cát Lượng nói: ""Hôm nay ngươi không làm, sau này nhất định sẽ hối tiếc!"" Lưu Bị nói: ""Ta thà chết chứ không thể làm chuyện bội ơn"
安身之处,ān shēn zhī chù,an thân chi xứ,,Chính phụ,Tích cực,Thành ngữ về thân thể,Tân ngữ,Chỉ nơi có thể tồn tại và làm chỗ dựa.,能够找到职业，找到安身之处，该是多么令人高兴啊。（杨沫《青春之歌》第三章）,"Có thể tìm được một nghề nghiệp, tìm được một nơi ổn định để sinh sống, thật là một điều vui mừng biết bao.",安身之地,,"Minh, La Quán Trung, Tam Quốc Diễn Nghĩa – Hồi 40: ""Gần đây nghe Lưu Cảnh Thăng bệnh nguy kịch, có thể nhân cơ hội này, chiếm lấy Kinh Châu làm nơi an thân.""",
安邦定国,ān bāng dìng guó,an bang định quốc,,Liên hợp,Tích cực,Thành ngữ về quốc chính,"Vị ngữ, Định ngữ, bổ ngữ","""邦"" chỉ quốc gia, nhằm ám chỉ việc giữ cho quốc gia ổn định và vững mạnh.",荐贤举善是吾心，安邦定国访知音。（明 无名氏《伐晋兴齐》第一折）,"Tuyển chọn hiền tài, đề cao người tốt là tâm nguyện của tôi, ổn định đất nước, tìm kiếm tri âm.",安邦治国、济国安邦,祸国殃民、暴虐无道,"Tống, Vô Danh Thị, Tân Biên Ngũ Đại Sử Bình Thoại – Chu Sử – Quyển Thượng: """"Thanh kiếm này tôi muốn bán cho người anh hùng, lớn thì giúp ổn định đất nước, nhỏ thì bảo vệ thân mình khỏi kẻ xâm lược, các cậu hiểu gì về nó""",
安邦治国,ān bāng zhì guó,an bang trị quốc,,Liên hợp,Tích cực,,"Vị ngữ, Định ngữ, bổ ngữ",làm cho đất nước ổn định và thái bình.,安邦治国平天下，自有周公孔圣人。（冰心《斯人独憔悴》）,"Ổn định đất nước và trị vì thiên hạ, tự có Chu Công và Khổng Thánh nhân làm gương mẫu.",安邦定国,祸国殃民,"Tống, Vô Danh Thị, Tân Biên Ngũ Đại Sử Bình Thoại – Chu Sử – Quyển Thượng: """"Thanh kiếm này tôi muốn bán cho người anh hùng, lớn thì giúp ổn định đất nước, nhỏ thì bảo vệ thân mình khỏi kẻ xâm lược, các cậu hiểu gì về nó""",
按兵不动,àn bīng bù dòng,án binh bất động,,Chính phụ,Tích cực,Thành ngữ về chiến tranh,"Dạng câu kiêm ngữ, dùng làm Vị ngữ, Định ngữ","Chỉ lệnh dừng lại, không hành động, ví dụ như dừng quân đội lại. Cũng ám chỉ việc tạm ngừng công việc.",又听得寨前炮响，史文恭按兵不动，只要等他入来，塌了陷坑，山后伏兵齐起，接应捉人。（明 施耐庵《水浒全传》第六十八回）,"Lại nghe thấy tiếng pháo vang ở trước doanh trại, Sử Văn Cung giữ quân không hành động, chỉ chờ đợi kẻ địch tiến vào, sập vào bẫy, sau núi quân phục sẵn, lập tức ra tay bắt người.",以逸待劳、裹足不前,雷厉风行、闻风而动,"Tuân Tử – Vương Chế: ""Yên lặng án binh bất động.""",
